19:26:52.709 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
19:26:52.720 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
19:26:52.725 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
19:26:52.725 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
19:26:52.725 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_0000B1B0 (PID-specific).
19:26:52.725 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_0000B1B0 (PID-specific) has no value.
19:26:52.725 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
19:26:52.745 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=20ms
19:26:52.745 |V| JetEnvironment                | :1                 | HostInit phase completed.
19:26:52.745 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
19:26:52.751 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir C:\Users\Luke\Downloads\Jam3\jam3\Library\RiderFlow\2023.1.0.21\Backend~\bin.
19:26:52.755 |V| DeployedPackages              | :1                 | Scanning folder C:\Users\Luke\Downloads\Jam3\jam3\Library\RiderFlow\2023.1.0.21\Backend~\bin for Deployed Packages. Picking nugets? True!
