19:32:48.063 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
19:32:48.096 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
19:32:48.170 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
19:32:48.170 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
19:32:48.170 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00008500 (PID-specific).
19:32:48.170 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00008500 (PID-specific) has no value.
19:32:48.170 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
19:32:48.648 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=506ms
19:32:48.648 |V| JetEnvironment                | :1                 | HostInit phase completed.
19:32:48.648 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
19:32:48.765 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir C:\Users\KALAN\Desktop\GameJam3\Jam3\jam3\Library\RiderFlow\2023.1.0.21\Backend~\bin.
19:32:48.823 |V| DeployedPackages              | :1                 | Scanning folder C:\Users\KALAN\Desktop\GameJam3\Jam3\jam3\Library\RiderFlow\2023.1.0.21\Backend~\bin for Deployed Packages. Picking nugets? True!
